"","AvDay","PP.mm","ID"
"1",225,8.01200230619347,"BOUD"
"2",255,186.386304240786,"BOUD"
"3",285,295.363372765875,"BOUD"
"4",315,84.1862040812889,"BOUD"
"5",345,163.945147945678,"BOUD"
"6",375,135.915933356058,"BOUD"
"7",405,16.9600329937168,"BOUD"
"8",435,9.75153711161884,"BOUD"
"9",465,79.4721005298352,"BOUD"
"10",495,83.4544084908319,"BOUD"
"11",525,250.044714061467,"BOUD"
"12",555,495.756940674435,"BOUD"
"13",585,286.925924055533,"BOUD"
"14",615,198.746512303205,"BOUD"
"15",645,218.722419314791,"BOUD"
"16",675,136.995383404665,"BOUD"
"17",705,198.859528408684,"BOUD"
"18",15.2942430703625,61.4213197969543,"BECK"
"19",44.5842217484009,45.4314720812183,"BECK"
"20",74.9019189765459,89.5939086294417,"BECK"
"21",105.219616204691,186.294416243655,"BECK"
"22",136.051172707889,142.131979695431,"BECK"
"23",165.341151385928,34.771573604061,"BECK"
"24",195.658848614073,16.4974619289341,"BECK"
"25",225.976545842217,18.7817258883249,"BECK"
"26",255.780383795309,25.6345177664975,"BECK"
"27",285.070362473348,57.6142131979696,"BECK"
"28",315.388059701493,135.279187817259,"BECK"
"29",345.705756929638,85.7868020304568,"BECK"
"30",315,154.865547869929,"BOCK"
"31",345,170.853564293459,"BOCK"
"32",375,35.1029388587987,"BOCK"
"33",405,35.8034085290114,"BOCK"
"34",435,140.8012280606,"BOCK"
"35",465,279.734332826259,"BOCK"
"36",495,76.5246381840521,"BOCK"
"37",525,31.056368195619,"BOCK"
"38",555,42.1453500596398,"BOCK"
"39",615,27.5081362580163,"BOCK"
"40",645,23.4184097392522,"BOCK"
"41",675,70.0579188741207,"BOCK"
"42",45,66.3865546218487,"AVE_GUA"
"43",75,99.1596638655462,"AVE_GUA"
"44",105,566.806722689075,"AVE_GUA"
"45",135,378.991596638656,"AVE_GUA"
"46",165,556.72268907563,"AVE_GUA"
"47",195,426.890756302521,"AVE_GUA"
"48",225,394.117647058824,"AVE_GUA"
"49",255,745.798319327731,"AVE_GUA"
"50",285,636.134453781512,"AVE_GUA"
"51",315,94.1176470588235,"AVE_GUA"
"52",345,57.563025210084,"AVE_GUA"
"53",375,2.94117647058829,"AVE_GUA"
"54",405,7.56302521008411,"AVE_GUA"
"55",435,33.1932773109244,"AVE_GUA"
"56",465,53.7815126050421,"AVE_GUA"
"57",495,252.941176470588,"AVE_GUA"
"58",525,332.352941176471,"AVE_GUA"
"59",555,527.731092436975,"AVE_GUA"
"60",585,181.09243697479,"AVE_GUA"
"61",615,392.857142857143,"AVE_GUA"
"62",645,711.764705882353,"AVE_GUA"
"63",675,114.285714285714,"AVE_GUA"
"64",705,56.3025210084033,"AVE_GUA"
"65",735,28.1512605042017,"AVE_GUA"
"66",15,12.5912985898222,"ANAN"
"67",45,21.1961520539546,"ANAN"
"68",75,32.016925812385,"ANAN"
"69",105,199.53342979767,"ANAN"
"70",135,247.946203556101,"ANAN"
"71",165,36.6353341508277,"ANAN"
"72",195,333.99967040462,"ANAN"
"73",225,249.316789316214,"ANAN"
"74",255,157.015677990845,"ANAN"
"75",285,435.177150220801,"ANAN"
"76",315,72.9240105850596,"ANAN"
"77",345,71.7436380428494,"ANAN"
"78",375,1.68554518043978,"ANAN"
"79",42,19.0506832204096,"MULI"
"80",75,254.449449260002,"MULI"
"81",111,30.4137174003558,"MULI"
"82",145,9.06544532344145,"MULI"
"83",178,41.7616109618078,"MULI"
"84",212,9.610507589235,"MULI"
"85",244,39.5965025171278,"MULI"
"86",279,83.118210378894,"MULI"
"87",312,7.71035996820473,"MULI"
"88",345,94.466103940346,"MULI"
"89",378,8.24785192475116,"MULI"
"90",413,146.360573829441,"MULI"
"91",446,316.8969302396,"MULI"
"92",480,146.905636095234,"MULI"
"93",513,36.356410159355,"MULI"
"94",546,9.60293727998794,"MULI"
"95",579,20.6782997085431,"MULI"
"96",613,10.1404292365344,"MULI"
"97",646,29.3235928687687,"MULI"
"98",678,97.1535637230781,"MULI"
"99",714,29.8762254438093,"MULI"
"100",104.114648225978,166.350710900474,"AVE_TAPA"
"101",135.117191769253,242.18009478673,"AVE_TAPA"
"102",165.563404771131,719.905213270142,"AVE_TAPA"
"103",196.470803898775,659.241706161137,"AVE_TAPA"
"104",230.064711317774,852.60663507109,"AVE_TAPA"
"105",261.120112869733,1004.2654028436,"AVE_TAPA"
"106",290.032122169563,481.042654028436,"AVE_TAPA"
"107",319.896897075919,124.644549763033,"AVE_TAPA"
"108",351.630202589248,48.815165876777,"AVE_TAPA"
"109",380.899003447693,37.4407582938386,"AVE_TAPA"
"110",414.35283714368,29.8578199052131,"AVE_TAPA"
"111",444.463401790416,26.0663507109002,"AVE_TAPA"
"112",227,219.11,"VAN_LON"
"113",257.4117647,304.66,"VAN_LON"
"114",287.8235294,243.27,"VAN_LON"
"115",318.2352941,109.39,"VAN_LON"
"116",348.6470588,32.41,"VAN_LON"
"117",379.0588235,21.91,"VAN_LON"
"118",409.4705882,20.56,"VAN_LON"
"119",439.8823529,40.23,"VAN_LON"
"120",470.2941176,69.58,"VAN_LON"
"121",500.7058824,193.32,"VAN_LON"
"122",531.1176471,270.97,"VAN_LON"
"123",561.5294118,113.15,"VAN_LON"
"124",591.9411765,162.32,"VAN_LON"
"125",622.3529412,327.37,"VAN_LON"
"126",652.7647059,209.41,"VAN_LON"
"127",683.1764706,48.46,"VAN_LON"
"128",713.5882353,9.16,"VAN_LON"
"129",744,9.22,"VAN_LON"
"130",774.4117647,1.97,"VAN_LON"
"131",804.8235294,20.01,"VAN_LON"
"132",835.2352941,37.49,"VAN_LON"
"133",865.6470588,14.23,"VAN_LON"
"134",896.0588235,58.62,"VAN_LON"
"135",926.4705882,39.02,"VAN_LON"
"136",956.8823529,63.34,"VAN_LON"
"137",987.2941176,195.53,"VAN_LON"
"138",1017.705882,126.13,"VAN_LON"
"139",1048.117647,49.92,"VAN_LON"
"140",1078.529412,6.17,"VAN_LON"
"141",1108.941176,2.97,"VAN_LON"
"142",1139.352941,1.84,"VAN_LON"
"143",1169.764706,12.81,"VAN_LON"
"144",1200.176471,24.84,"VAN_LON"
"145",1230.588235,33.28,"VAN_LON"
"146",1261,147.81,"VAN_LON"
"147",896.0588235,58.62,"VAN_SHO"
"148",926.4705882,39.02,"VAN_SHO"
"149",956.8823529,63.34,"VAN_SHO"
"150",987.2941176,195.53,"VAN_SHO"
"151",1017.705882,126.13,"VAN_SHO"
"152",1048.117647,49.92,"VAN_SHO"
"153",1078.529412,6.17,"VAN_SHO"
