Day,Spore 2.5 m,Spore 1.25 m
53.5047399670697,1557.50328471402,1955.28963693515
60.3046218836796,1706.30498777587,3347.40798642873
68.2568563207877,1606.42806060505,2812.41039799092
72.3852844811815,,2861.90895936933
76.1730171137759,686.03788647363,
76.5527782832377,529.8357347273,
81.512233048254,405.060296769284,
87.4866213842173,344.793303667433,1220.04091339997
94.7947237050058,521.068303253875,1530.4971144411
100.542694408887,482.312947676631,1070.168144095
102.101950870657,,647.402996989705
102.502208400192,,527.453640138294
107.820466162677,196.223387537013,
116.603166200725,153.114092405419,114.444756910556
122.274246910721,185.338538651139,200.398669997188
130.612429901904,,90.6436618087377
135.727365965824,34.6909066847527,64.784701659195
142.620370217201,,167.955865080809
149.613041967875,101.224131941573,178.648823013681
163.301376321318,144.115068402508,503.255529271642
171.982415510083,,406.403533440307
177.055491224297,79.4742849580653,206.360523399117
183.986369125407,154.682304676515,408.448164629204
191.160435724802,109.455592132471,193.331789383137
197.919885527121,270.690311161106,524.449554184381
203.591371855843,195.356569783792,667.102965389924
212.817969622127,255.504458156193,1511.94471701565
219.782194355281,,1449.44035125651
227.359884904138,238.148252303518,665.917142049329
239.617204617565,197.189459231444,851.708882864603
246.651459896011,229.387437759508,727.006170272922
253.492961741647,332.558601181122,950.399986694829
259.255364714494,214.22805247225,763.613684368087
260.044389375821,,639.255243068837
261.188814080826,,526.037617243718
266.652586392285,173.295727117831,373.305652511952
273.896420241187,95.8181006104116,265.707763312435
288.334254189343,168.809448975203,168.802832045789
294.617293345023,,157.997386312882
302.239863691254,54.700501232403,84.8141469950869
