Day,Process,Harvest,ID
222.151515151517,start,22.5,AVE_GUA
313.060606060608,end,22.5,AVE_GUA
635.484848484849,start,22.5,AVE_GUA
698.515151515152,end,22.5,AVE_GUA
232.572390787013,start,52.2,AVE_TAPA
360.550696923338,end,52.2,AVE_TAPA
318,start,72,ANAN
324,end,72,ANAN
166,start,52,MULI
196,end,52,MULI
319,start,52,MULI
349,end,52,MULI
531,start,52,MULI
561,end,52,MULI
248,start,90,VAN_LON
298,end,90,VAN_LON
613,start,90,VAN_LON
663,end,90,VAN_LON
978,start,90,VAN_LON
1028,end,90,VAN_LON
978,start,100,VAN_SHO
1028,end,100,VAN_SHO
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,90,
