DayLeaves,Number.Leaves,DayRust,Rust
52.5125668186945,10.7136972193615,66.9791666666667,6.18455700123916
80.3142317689177,11.7203913491246,80.9375,7.08139714993804
99.6879137854936,11.2890981315286,101.875,12.4415272614622
123.698629297239,11.0700308959835,129.791666666667,36.9861369268897
150.452957186994,10.4769751360895,169.340277777778,44.1368494423792
184.501679662596,8.60217743121965,196.09375,49.7219640644362
217.622173998333,6.67426805943799,237.96875,18.9552354399009
243.341486440096,4.64145946741209,263.559027777778,25.6552044609665
265.503960080428,4.42283360306017,290.3125,20.5339993804213
291.375239076063,4.36332205384728,303.107638888889,6.04011771995043
320.667819135893,6.72966014418125,344.982638888889,6.50015489467162
351.057022706096,11.3357363542739,374.0625,10.7477540272615
369.58462066598,11.9179785199353,407.795138888889,12.5433705080545
413.810995046834,10.2007503310284,433.385416666667,9.20616480793061
445.165391594331,9.33992938060909,469.444444444445,3.64196096654274
473.792604580452,9.0664263645726,498.524305555556,21.2724597273854
504.300917071257,9.21914079741062,525.277777777778,17.0434479553903
538.464641263303,8.83764896277769,557.847222222222,36.236446716233
568.820987200236,7.0170663528027,590.416666666667,34.9089993804213
597.403020940611,6.15690745917316,619.496527777778,45.625
624.999325682899,4.49698396351331,638.107638888889,22.6572180916976
661.023613358835,4.27504781521259,678.819444444445,24.9012546468402
674.942928252661,5.01839046638223,699.756944444444,22.4546933085502
712.872958658232,5.54266588200676,730,18.4498915737299
