"","g","m","Iini","patron","meanTime","sdTime","meanTimeGrow","sdTimeGrow","meanTimelag","sdTimelag","ID"
"1",0.015,0.001,0.001," Aggregated (1.23)",286.99,NA,188,NA,98.99,NA,1
"2",0.015,0.001,0.001," Rows (1.54)",300.99,NA,151,NA,149.99,NA,32
"3",0.015,0.001,0.001,"Random (1.99)",300.99,0,165.566666666667,37.7870013531686,135.423333333333,37.7870013531686,16.5
"4",0.015,0.001,0.001,"Spaced (2.5)",300.99,NA,153.5,NA,147.49,NA,33
"5",0.015,0.001,0.1," Aggregated (1.23)",252.49,NA,191,NA,61.49,NA,67
"6",0.015,0.001,0.1," Rows (1.54)",300.99,NA,188,NA,112.99,NA,98
"7",0.015,0.001,0.1,"Random (1.99)",300.99,0,204.766666666667,29.9346222490848,96.2233333333333,29.9346222490848,82.5
"8",0.015,0.001,0.1,"Spaced (2.5)",300.99,NA,192.5,NA,108.49,NA,99
"9",0.015,0.005,0.001," Aggregated (1.23)",220.49,NA,142.5,NA,77.99,NA,100
"10",0.015,0.005,0.001," Rows (1.54)",300.99,NA,206.5,NA,94.49,NA,131
"11",0.015,0.005,0.001,"Random (1.99)",300.99,0,199.433333333333,18.7615405097463,101.556666666667,18.7615405097463,115.5
"12",0.015,0.005,0.001,"Spaced (2.5)",300.99,NA,182.5,NA,118.49,NA,132
"13",0.015,0.005,0.1," Aggregated (1.23)",186.49,NA,144,NA,42.49,NA,166
"14",0.015,0.005,0.1," Rows (1.54)",285.49,NA,225.5,NA,59.99,NA,197
"15",0.015,0.005,0.1,"Random (1.99)",294.006666666667,10.371947688384,223.866666666667,21.7806198786639,70.14,20.3313712073833,181.5
"16",0.015,0.005,0.1,"Spaced (2.5)",294.49,NA,216,NA,78.49,NA,198
"17",0.015,0.01,0.001," Aggregated (1.23)",196.99,NA,124,NA,72.99,NA,199
"18",0.015,0.01,0.001," Rows (1.54)",274.49,NA,190,NA,84.49,NA,230
"19",0.015,0.01,0.001,"Random (1.99)",290.056666666667,11.041249721037,203.316666666667,18.9220193449841,86.74,15.5445688486254,214.5
"20",0.015,0.01,0.001,"Spaced (2.5)",289.99,NA,182,NA,107.99,NA,231
"21",0.015,0.01,0.1," Aggregated (1.23)",162.49,NA,129.5,NA,32.99,NA,265
"22",0.015,0.01,0.1," Rows (1.54)",239.49,NA,189,NA,50.49,NA,296
"23",0.015,0.01,0.1,"Random (1.99)",257.056666666667,12.204954712748,201.083333333333,18.4330490926101,55.9733333333333,17.1351037816873,280.5
"24",0.015,0.01,0.1,"Spaced (2.5)",252.49,NA,185,NA,67.49,NA,297
"25",0.015,0.05,0.001," Aggregated (1.23)",162.49,NA,93.5,NA,68.99,NA,298
"26",0.015,0.05,0.001," Rows (1.54)",206.49,NA,123,NA,83.49,NA,329
"27",0.015,0.05,0.001,"Random (1.99)",220.506666666667,6.18742235525415,137.3,8.20176599990766,83.2066666666667,7.64591769974438,313.5
"28",0.015,0.05,0.001,"Spaced (2.5)",221.99,NA,129.5,NA,92.49,NA,330
"29",0.015,0.05,0.1," Aggregated (1.23)",123.99,NA,101,NA,22.99,NA,364
"30",0.015,0.05,0.1," Rows (1.54)",165.99,NA,132,NA,33.99,NA,395
"31",0.015,0.05,0.1,"Random (1.99)",179.456666666667,5.19438246526017,145.816666666667,7.61405611843731,33.64,7.0992350243554,379.5
"32",0.015,0.05,0.1,"Spaced (2.5)",178.99,NA,135,NA,43.99,NA,396
"33",0.015,0.1,0.001," Aggregated (1.23)",158.49,NA,89,NA,69.49,NA,397
"34",0.015,0.1,0.001," Rows (1.54)",196.99,NA,109,NA,87.99,NA,428
"35",0.015,0.1,0.001,"Random (1.99)",208.606666666667,5.93017318659316,120.35,5.22122657012236,88.2566666666667,5.80833724995333,412.5
"36",0.015,0.1,0.001,"Spaced (2.5)",210.49,NA,114.5,NA,95.99,NA,429
"37",0.015,0.1,0.1," Aggregated (1.23)",115.99,NA,94,NA,21.99,NA,463
"38",0.015,0.1,0.1," Rows (1.54)",150.49,NA,117.5,NA,32.99,NA,494
"39",0.015,0.1,0.1,"Random (1.99)",160.99,4.67015468989906,129.05,6.43180405860408,31.94,5.0023270446932,478.5
"40",0.015,0.1,0.1,"Spaced (2.5)",161.49,NA,123,NA,38.49,NA,495
